filename	NH	NC	NN	NO	NF	mu	alpha	HOMO	HOMO_ev	HOMO_kcm	HOMO_kjm	LUMO	LUMO_ev	LUMO_kcm	LUMO_kjm	gap	gap_ev	gap_kcm	gap_kjm	zpve	zpve_ev	zpve_kcm	zpve_kjm	zpve_cmi	U0	U0_ev	U0_kcm	U0_kjm	U	U_ev	U_kcm	U_kjm	H	H_ev	H_kcm	H_kjm	G	G_ev	G_kcm	G_kjm	Cv
bigqm7wdef2tzvp_000011.xyz	02	01	00	01	00	2.36676000	15.59580000	-0.35810000	-9.74439656	-224.71114085	-940.19141333	0.02606000	0.70912866	16.35289676	68.42052005	0.38416000	10.45352523	241.06403761	1008.61193338	0.02678800	0.72893855	16.80972366	70.33188378	5879.28642792	-0.56631200	-15.41013322	-355.36614241	-1486.85193986	-0.56911000	-15.48627067	-357.12191391	-1494.19808779	-0.57194200	-15.56333331	-358.89902072	-1501.63350271	-0.53649700	-14.59882581	-336.65694760	-1408.57266874	6.40500000
bigqm7wdef2tzvp_000012.xyz	00	00	00	02	00	0.00000000	7.77513000	-0.33936000	-9.23445523	-212.95161340	-890.98955048	-0.09724000	-2.64603497	-61.01902077	-255.30358289	0.24212000	6.58842026	151.93259264	635.68596759	0.00388900	0.10582507	2.44038432	10.21056802	853.53684180	-0.13283200	-3.61454254	-83.35333779	-348.75036530	-0.13330200	-3.62733189	-83.64826724	-349.98435012	-0.13424500	-3.65299223	-84.24000867	-352.46019626	-0.12183500	-3.31529895	-76.45261616	-319.87774600	5.00400000
bigqm7wdef2tzvp_000013.xyz	02	02	00	00	00	0.00000000	19.86590000	-0.38065000	-10.35801327	-238.86147938	-999.39642972	0.10095000	2.74698920	63.34708090	265.04418647	0.48160000	13.10500247	302.20856027	1264.44061619	0.02721800	0.74063945	17.07955273	71.46084861	5973.66051946	-0.61085500	-16.62220989	-383.31729669	-1603.79956936	-0.61374300	-16.70079637	-385.12954404	-1611.38201226	-0.61657400	-16.77783180	-386.90602335	-1618.81480168	-0.57939300	-15.76608533	-363.57459378	-1521.19610037	8.10700000
bigqm7wdef2tzvp_000014.xyz	08	03	00	00	00	0.09326340	38.72420000	-0.40725000	-11.08183608	-255.55323125	-1069.23471957	0.11396000	3.10100931	71.51097909	299.20193651	0.52121000	14.18284539	327.06421034	1368.43665607	0.10391700	2.82772538	65.20890149	272.83404384	22807.14527888	-1.49662500	-40.72523738	-939.14635906	-3929.38836629	-1.50769700	-41.02652183	-946.09414390	-3958.45789807	-1.51713700	-41.28339729	-952.01783328	-3983.24261446	-1.39272500	-37.89797460	-873.94812523	-3656.59895595	14.68800000
bigqm7wdef2tzvp_000015.xyz	07	02	01	00	00	1.32069000	34.52300000	-0.32024000	-8.71417357	-200.95363236	-840.78999778	0.10968000	2.98454458	68.82523856	287.96479814	0.42992000	11.69871815	269.77887092	1128.75479591	0.09333500	2.53977451	58.56859629	245.05100688	20484.66472862	-1.30131300	-35.41052758	-816.58622965	-3416.59678483	-1.31107700	-35.67621953	-822.71323210	-3442.23216311	-1.31957300	-35.90740745	-828.04455255	-3464.53840787	-1.20808400	-32.87363747	-758.08414936	-3171.82408092	14.16800000
bigqm7wdef2tzvp_000016.xyz	06	02	00	01	00	1.70661000	30.50560000	-0.35932000	-9.77759445	-225.47670240	-943.39452286	0.10769000	2.93039393	67.57649472	282.74005390	0.46701000	12.70798838	293.05319712	1226.13457676	0.08056400	2.19225793	50.55467286	211.52075125	17681.75421007	-1.20375800	-32.75592102	-755.36954340	-3160.46616957	-1.21224200	-32.98678240	-760.69333373	-3182.74090833	-1.21979400	-33.19228278	-765.43228524	-3202.56868145	-1.12114500	-30.50790697	-703.52910363	-2943.56576960	13.42100000
bigqm7wdef2tzvp_000017.xyz	05	02	00	00	01	1.90644000	26.75200000	-0.41624000	-11.32646642	-261.19454138	-1092.83796114	0.12047000	3.27815541	75.59606573	316.29393902	0.53671000	14.60462184	336.79060711	1409.13190016	0.06832100	1.85910896	42.87207443	179.37675942	14994.72629693	-1.07601300	-29.27980279	-675.20834628	-2825.07172082	-1.08351000	-29.48380654	-679.91278477	-2844.75509146	-1.09011700	-29.66359215	-684.05873983	-2862.10176744	-1.00397200	-27.31946749	-630.00193662	-2635.92810282	11.57000000
bigqm7wdef2tzvp_000018.xyz	02	01	00	00	02	1.88974000	15.34840000	-0.43614000	-11.86797296	-273.68197981	-1145.08540354	0.13582000	3.69585016	85.22833608	356.59535816	0.57196000	15.56382312	358.91031589	1501.68076170	0.03297700	0.89734981	20.69337976	86.58110091	7237.61492212	-0.65984500	-17.95529559	-414.05898558	-1732.42279566	-0.66381200	-18.06324315	-416.54831564	-1742.83815265	-0.66758800	-18.16599333	-418.91779140	-1752.75203921	-0.61828000	-16.82425442	-387.97655450	-1623.29390402	8.16200000
bigqm7wdef2tzvp_000019.xyz	07	02	01	00	00	0.99578100	34.93310000	-0.30373000	-8.26491362	-190.59345102	-797.44299908	0.11216000	3.05202881	70.38146204	294.47603719	0.41589000	11.31694244	260.97491307	1091.91903627	0.09296300	2.52965188	58.33516277	244.07432102	20403.02016571	-1.28986100	-35.09890281	-809.39999121	-3386.52956321	-1.29963300	-35.36481245	-815.53201374	-3412.18594548	-1.30812900	-35.59600037	-820.86333419	-3434.49219023	-1.19659800	-32.56108752	-750.87657560	-3141.66759230	13.78600000
bigqm7wdef2tzvp_000020.xyz	06	02	00	01	00	1.24717000	30.95560000	-0.34330000	-9.34166808	-215.42400071	-901.33401897	0.11778000	3.20495679	73.90806526	309.23134505	0.46108000	12.54662487	289.33206597	1210.56536402	0.08014500	2.18085636	50.29174639	210.42066691	17589.79433948	-1.18652800	-32.28706888	-744.55755524	-3115.22881114	-1.19497000	-32.51678738	-749.85499018	-3137.39327892	-1.20252100	-32.72226054	-754.59331418	-3157.21842654	-1.10327500	-30.02163954	-692.31550942	-2896.64809142	12.83900000
bigqm7wdef2tzvp_000021.xyz	06	03	00	00	00	0.40954600	37.44340000	-0.34000000	-9.25187052	-213.35321946	-892.66987023	0.08464000	2.30317153	53.11240146	222.22228770	0.42464000	11.55504205	266.46562092	1114.89215793	0.08011400	2.18001281	50.27229360	210.33927642	17582.99062590	-1.28681800	-35.01609857	-807.49047989	-3378.54016787	-1.29548800	-35.25202127	-812.93098699	-3401.30324956	-1.30304000	-35.45752164	-817.66993850	-3421.13102268	-1.20425400	-32.76941787	-755.68078809	-3161.76841738	12.88000000
bigqm7wdef2tzvp_000022.xyz	04	02	00	01	00	2.83854000	27.71940000	-0.34580000	-9.40969654	-216.99277438	-907.89776802	0.04709000	1.28138407	29.54942090	123.63477703	0.39289000	10.69108061	246.54219528	1031.53254505	0.05577000	1.51757888	34.99620309	146.42411371	12240.10019730	-1.02026400	-27.76279535	-640.22532089	-2678.70274260	-1.02628400	-27.92660788	-644.00292789	-2694.50825030	-1.03194800	-28.08073316	-647.55714153	-2709.37908014	-0.95854400	-26.08330874	-601.49543646	-2516.65690616	11.15000000
bigqm7wdef2tzvp_000023.xyz	03	02	01	00	00	4.03202000	26.99980000	-0.41958000	-11.41735244	-263.29042301	-1101.60712986	0.09865000	2.68440302	61.90380912	259.00553735	0.51823000	14.10175546	325.19423212	1360.61266721	0.04561500	1.24124728	28.62384443	119.76216509	10011.33531468	-0.93129300	-25.34177132	-584.39517592	-2445.10941606	-0.93619500	-25.47516152	-587.47122734	-2457.97961519	-0.94091500	-25.60359925	-590.43307203	-2470.37197339	-0.87816100	-23.89597607	-551.05434281	-2305.61137034	10.28200000
bigqm7wdef2tzvp_000024.xyz	04	01	02	00	00	3.68455000	28.62810000	-0.32985000	-8.97567497	-206.98399835	-866.02104911	0.10007000	2.72304318	62.79487256	262.73374681	0.42992000	11.69871815	269.77887092	1128.75479591	0.05837700	1.58851896	36.63212027	153.26879122	12812.27056155	-0.92947400	-25.29227381	-583.25373620	-2440.33363225	-0.93557600	-25.45831767	-587.08279898	-2456.35443092	-0.94124000	-25.61244295	-590.63701261	-2471.22526076	-0.86677600	-23.58617446	-543.91014751	-2275.72005718	11.74100000
bigqm7wdef2tzvp_000025.xyz	03	01	01	01	00	4.00791000	23.72750000	-0.34978000	-9.51799785	-219.49026207	-918.34725650	0.09232000	2.51215496	57.93167418	242.38612476	0.44210000	12.03015281	277.42193625	1160.73338127	0.04587100	1.24821339	28.78448685	120.43429299	10067.52082034	-0.85787100	-23.34385709	-538.32217569	-2252.33998308	-0.86266100	-23.47419962	-541.32794605	-2264.91612625	-0.86738100	-23.60263735	-544.28979074	-2277.30848445	-0.80584400	-21.92813042	-505.67474054	-2115.74311444	10.68800000
bigqm7wdef2tzvp_000026.xyz	02	01	00	02	00	1.57382000	19.40820000	-0.38522000	-10.48236929	-241.72919765	-1011.39496298	0.06741000	1.83431939	42.30041331	176.98492927	0.45263000	12.31668868	284.02961096	1188.37989225	0.03422500	0.93130961	21.47651158	89.85772444	7511.51926220	-0.76058200	-20.69648877	-477.27240696	-1996.90775071	-0.76450800	-20.80332066	-479.73600913	-2007.21546221	-0.76828400	-20.90607084	-482.10548489	-2017.12934877	-0.71888000	-19.56171964	-451.10400708	-1887.41916563	8.55500000
bigqm7wdef2tzvp_000027.xyz	03	02	00	00	01	1.36127000	25.03950000	-0.35448000	-9.64589135	-222.43955657	-930.68710471	0.07839000	2.13310038	49.19046728	205.81291508	0.43287000	11.77899174	271.63002385	1136.50001979	0.04436600	1.20726026	27.84008510	116.48291607	9737.21149997	-0.86550200	-23.55150716	-543.11070045	-2272.37517067	-0.87067100	-23.69216280	-546.35429689	-2285.94637820	-0.87539100	-23.82060054	-549.31614159	-2298.33873639	-0.81396300	-22.14905965	-510.76948992	-2137.05954584	9.75700000
bigqm7wdef2tzvp_000028.xyz	04	01	02	00	00	2.00055000	30.43780000	-0.31874000	-8.67335649	-200.01236815	-836.85174835	0.06971000	1.89690557	43.74368508	183.02357839	0.38845000	10.57026206	243.75605324	1019.87532674	0.05767800	1.56949820	36.19349115	151.43356699	12658.85779415	-0.88631300	-24.11780327	-556.16980001	-2327.01444323	-0.89258900	-24.28858192	-560.10804943	-2343.49207883	-0.89825300	-24.44270719	-563.66226307	-2358.36290867	-0.82340100	-22.40588069	-516.69192429	-2161.83901124	11.33900000
bigqm7wdef2tzvp_000029.xyz	03	01	01	01	00	0.22190200	25.38170000	-0.35701000	-9.71473616	-224.02715553	-937.32961874	0.06042000	1.64411181	37.91412212	158.63268694	0.41743000	11.35884797	261.94127765	1095.96230568	0.04515500	1.22873004	28.33519007	118.55443527	9910.37698421	-0.77360900	-21.05097146	-485.44697281	-2031.11013424	-0.77862700	-21.18751819	-488.59581533	-2044.28489133	-0.78334700	-21.31595592	-491.55766002	-2056.67724952	-0.72134500	-19.62879570	-452.65081792	-1893.89102219	10.33400000
bigqm7wdef2tzvp_000030.xyz	04	03	00	00	00	0.81871200	32.94810000	-0.35388000	-9.62956452	-222.06305089	-929.11180494	0.11618000	3.16141858	72.90405011	305.03054566	0.47006000	12.79098310	294.96710100	1234.14235059	0.05610000	1.52655864	35.20328121	147.29052859	12312.52682569	-1.06100900	-28.87152319	-665.79319420	-2785.67872455	-1.06703000	-29.03536293	-669.57142872	-2801.48685775	-1.07269300	-29.18946100	-673.12501484	-2816.35506209	-0.99891100	-27.18175067	-626.82611120	-2622.64044925	12.09700000
bigqm7wdef2tzvp_000031.xyz	06	03	00	00	00	0.00000000	34.59320000	-0.37779000	-10.28018871	-237.06680230	-991.88750081	0.13122000	3.57067779	82.34179252	344.51805992	0.50901000	13.85086650	319.40859482	1336.40556073	0.08183200	2.22676196	51.35035487	214.84988477	17960.04804278	-1.27610000	-34.72444696	-800.76483340	-3350.40006296	-1.28549500	-34.98009791	-806.66028486	-3375.06663187	-1.29304600	-35.18557107	-811.39860886	-3394.89177949	-1.19280400	-32.45784752	-748.49580467	-3131.70644675	10.89900000
bigqm7wdef2tzvp_000032.xyz	05	02	01	00	00	1.73181000	30.38870000	-0.33491000	-9.11336457	-210.15919627	-879.30607718	0.11515000	3.13339085	72.25771536	302.32628105	0.45006000	12.24675542	282.41691162	1181.63235823	0.07088100	1.92877010	44.47849867	186.09803845	15556.58135351	-1.07487500	-29.24883624	-674.49424050	-2822.08390226	-1.08299000	-29.46965662	-679.58647984	-2843.38983166	-1.08959800	-29.64946944	-683.73306241	-2860.73913314	-1.00162000	-27.25546631	-628.52603435	-2629.75292772	9.79800000
bigqm7wdef2tzvp_000033.xyz	04	02	00	01	00	1.89415000	26.22930000	-0.36191000	-9.84807194	-227.10195193	-950.19456687	0.13390000	3.64360430	84.02351790	351.55439890	0.49581000	13.49167624	311.12546983	1301.74896577	0.05798300	1.57779767	36.38488154	152.23434437	12725.79755675	-0.97674200	-26.57850150	-612.91485378	-2564.43574821	-0.98352800	-26.76315795	-617.17313304	-2582.25238862	-0.98919200	-26.91728323	-620.72734667	-2597.12321846	-0.91348100	-24.85708215	-573.21797726	-2398.34401686	8.99200000
bigqm7wdef2tzvp_000034.xyz	10	04	00	00	00	0.13982000	50.61690000	-0.40094000	-10.91013225	-251.59364650	-1052.66781698	0.10765000	2.92930547	67.55139434	282.63503391	0.50859000	13.83943772	319.14504084	1335.30285089	0.13220500	3.59748100	82.95988935	347.10417704	29015.64365401	-1.93857900	-52.75141733	-1216.47667892	-5089.73842461	-1.95275300	-53.13711149	-1225.37099814	-5126.95225620	-1.96502500	-53.47104959	-1233.07179434	-5159.17238752	-1.80037900	-48.99080408	-1129.75487031	-4726.89437736	19.99900000
bigqm7wdef2tzvp_000035.xyz	09	03	01	00	00	1.25863000	46.59270000	-0.32061000	-8.72424178	-201.18581086	-841.76143263	0.10348000	2.81583400	64.93467985	271.68670051	0.42409000	11.54007579	266.12049071	1113.44813314	0.12148100	3.30566612	76.23047780	318.94831914	26661.99770609	-1.74532900	-47.49281740	-1095.21047404	-4582.36062337	-1.75820300	-47.84313675	-1103.28903094	-4616.16130546	-1.76953100	-48.15138731	-1110.39745821	-4645.90296513	-1.61820700	-44.03365186	-1015.44021532	-4248.60186089	19.56200000
bigqm7wdef2tzvp_000036.xyz	08	03	00	01	00	1.63601000	42.37280000	-0.35739000	-9.72507648	-224.26560913	-938.32730860	0.10305000	2.80413311	64.66485078	270.55773567	0.46044000	12.52920959	288.93045991	1208.88504427	0.10861900	2.95567330	68.15945101	285.17914304	23839.11499607	-1.64938300	-44.88199396	-1035.00345052	-4330.45443699	-1.66093200	-45.19625823	-1042.25055738	-4360.77633208	-1.67131600	-45.47882124	-1048.76661571	-4388.03952012	-1.53295200	-41.71374533	-961.94189554	-4024.76489093	18.88800000
bigqm7wdef2tzvp_000037.xyz	07	03	00	00	01	1.92360000	38.52750000	-0.40876000	-11.12292527	-256.50077055	-1073.19922399	0.11290000	3.07216524	70.84581905	296.41890691	0.52166000	14.19509051	327.34658960	1369.61813090	0.09635500	2.62195289	60.46367489	252.98001572	21147.47811567	-1.52311700	-41.44612136	-955.77033991	-3998.94310218	-1.53366500	-41.73314704	-962.38930979	-4026.63687215	-1.54310500	-41.99002251	-968.31299918	-4051.42158855	-1.41728300	-38.56623176	-889.35850277	-3721.07597557	17.07200000
bigqm7wdef2tzvp_000038.xyz	04	02	00	00	02	2.21870000	26.88000000	-0.42642000	-11.60347831	-267.58258777	-1119.56554725	0.12276000	3.34046948	77.03306242	322.30633315	0.54918000	14.94394779	344.61565019	1441.87188040	0.06083800	1.65548617	38.17642108	159.73014578	13352.39762961	-1.11156300	-30.24716749	-697.51630790	-2918.40823226	-1.11862700	-30.43938870	-701.94903479	-2936.95476156	-1.12523500	-30.61920153	-706.09561736	-2954.30406304	-1.03690100	-28.21551115	-650.66519593	-2722.38317975	13.73200000
bigqm7wdef2tzvp_000039.xyz	01	01	00	00	03	1.57681000	15.87880000	-0.48935000	-13.31589070	-307.07175866	-1284.78823823	0.14305000	3.89258846	89.76522954	375.57772040	0.63240000	17.20847916	396.83698820	1660.36595864	0.02546700	0.69299231	15.98078365	66.86359878	5589.36043975	-0.70111900	-19.07841825	-439.95881140	-1840.78766691	-0.70475700	-19.17741326	-442.24169085	-1850.33923452	-0.70853300	-19.28016345	-444.61116661	-1860.25312108	-0.65654200	-17.86541639	-411.98632180	-1723.75077042	10.11300000
bigqm7wdef2tzvp_000040.xyz	09	03	01	00	00	0.53715100	47.52640000	-0.29467000	-8.01837848	-184.90821523	-773.65597253	0.10792000	2.93665255	67.72082190	283.34391881	0.40259000	10.95503103	252.62903713	1056.99989135	0.12083000	3.28795151	75.82196914	317.23911888	26519.11972100	-1.72459300	-46.92856214	-1082.19843769	-4527.91826328	-1.73760100	-47.28252782	-1090.36108086	-4562.07076232	-1.74892900	-47.59077838	-1097.46950813	-4591.81242200	-1.59729600	-43.46463461	-1002.31836481	-4193.70003837	18.63900000
bigqm7wdef2tzvp_000041.xyz	08	04	00	00	00	0.57394200	49.77890000	-0.32723000	-8.90438114	-205.33992354	-859.14224011	0.08809000	2.39705081	55.27730913	231.28026138	0.41532000	11.30143195	260.61723267	1090.42250149	0.10842000	2.95025824	68.03457663	284.65666862	23795.43954441	-1.73228700	-47.13792653	-1087.02649554	-4548.11885735	-1.74399600	-47.45654462	-1094.37400391	-4578.86083238	-1.75438000	-47.73910763	-1100.89006224	-4606.12402042	-1.61615700	-43.97786852	-1014.15382091	-4243.21958667	18.22500000
bigqm7wdef2tzvp_000042.xyz	06	03	00	01	00	3.02209000	39.17600000	-0.33537000	-9.12588181	-210.44785062	-880.51380700	0.05842000	1.58968905	36.65910318	153.38168770	0.39379000	10.71557085	247.10695380	1033.89549470	0.08396900	2.28491269	52.69134260	220.46057745	18429.06533024	-1.47190300	-40.05251755	-923.63306996	-3864.48076473	-1.48066000	-40.29080764	-929.12817038	-3887.47226488	-1.48915600	-40.52199556	-934.45949083	-3909.77850964	-1.37795900	-37.49617131	-864.68232041	-3617.83082858	16.74200000
bigqm7wdef2tzvp_000043.xyz	06	02	02	00	00	2.97767000	40.21250000	-0.32079000	-8.72913983	-201.29876256	-842.23402257	0.09665000	2.62998025	60.64879018	253.75453811	0.41744000	11.35912008	261.94755274	1095.98856068	0.08686900	2.36382571	54.51112006	228.07452635	19065.54176151	-1.37981100	-37.54656679	-865.84446794	-3622.69325387	-1.38894200	-37.79503393	-871.57425690	-3646.66669089	-1.39743800	-38.02622185	-876.90557735	-3668.97293565	-1.28394500	-34.93792026	-805.68764519	-3370.99710746	16.97300000
bigqm7wdef2tzvp_000044.xyz	05	02	01	01	00	3.92647000	35.01000000	-0.33928000	-9.23227832	-212.90141265	-890.77951051	0.09785000	2.66263391	61.40180154	256.90513765	0.43713000	11.89491223	274.30321419	1147.68464816	0.07395200	2.01233626	46.40558025	194.16094778	16230.58794676	-1.30743500	-35.57711567	-820.42784261	-3432.67009350	-1.31497200	-35.78220787	-825.15738148	-3452.45848412	-1.32252400	-35.98770824	-829.89633299	-3472.28625724	-1.22313000	-33.28305995	-767.52565683	-3211.32734817	16.33400000
bigqm7wdef2tzvp_000045.xyz	04	02	00	02	00	1.75514000	30.75710000	-0.36944000	-10.05297366	-231.82709823	-969.96457900	0.07961000	2.16629827	49.95602883	209.01602462	0.44905000	12.21927193	281.78312706	1178.98060361	0.06231800	1.69575902	39.10513509	163.61588522	13677.22008419	-1.21269600	-32.99913637	-760.97822303	-3183.93288516	-1.21947400	-33.18357513	-765.23148221	-3201.72852157	-1.22608200	-33.36338796	-769.37806478	-3219.07782305	-1.13831500	-30.97512643	-714.30344122	-2988.64559805	14.16400000
bigqm7wdef2tzvp_000046.xyz	05	03	00	00	01	1.56974000	37.37780000	-0.33860000	-9.21377458	-212.47470621	-888.99417077	0.08654000	2.35487316	54.30466945	227.21073697	0.42514000	11.56864774	266.77937565	1116.20490774	0.07264900	1.97687983	45.58793541	190.73992177	15944.61250195	-1.31552200	-35.79717413	-825.50251169	-3453.90250891	-1.32376000	-36.02134151	-830.67193470	-3475.53137477	-1.33131100	-36.22681467	-835.41025870	-3495.35652239	-1.23045500	-33.48238334	-772.12216369	-3230.55913288	15.18400000
bigqm7wdef2tzvp_000047.xyz	05	01	03	00	00	2.94682000	36.22930000	-0.31781000	-8.64804991	-199.42878435	-834.41003370	0.09575000	2.60549001	60.08403166	251.39158846	0.41356000	11.25353991	259.51281600	1085.80162216	0.07675200	2.08852813	48.16260677	201.51234671	16845.11691489	-1.19990900	-32.65118441	-752.95425945	-3150.36062154	-1.20814800	-32.87537900	-758.12430996	-3171.99211289	-1.21570000	-33.08087937	-762.86326147	-3191.81988601	-1.11331100	-30.29473299	-698.61319445	-2922.99760559	16.12200000
bigqm7wdef2tzvp_000048.xyz	04	01	02	01	00	3.87708000	30.88790000	-0.34637000	-9.42520703	-217.35045478	-909.39430280	0.09446000	2.57038732	59.27454444	248.00469395	0.44083000	11.99559435	276.62499922	1157.39899675	0.06428900	1.74939266	40.34195625	168.79074496	14109.80458283	-1.13383700	-30.85327385	-711.49345381	-2976.88861075	-1.14074100	-31.04114125	-715.82577919	-2995.01506012	-1.14734800	-31.22092686	-719.97173425	-3012.36173610	-1.05792500	-28.78760328	-663.85795500	-2777.58168373	15.36700000
bigqm7wdef2tzvp_000049.xyz	02	01	00	03	00	5.16297000	22.92950000	-0.39488000	-10.74523126	-247.79093912	-1036.75728929	0.05669000	1.54261335	35.57351180	148.83957336	0.45157000	12.28784461	283.36445092	1185.59686265	0.03890100	1.05855004	24.41074585	102.13456065	8537.78263897	-0.92447200	-25.15616247	-580.11493383	-2427.20088316	-0.92885300	-25.27537554	-582.86405282	-2438.70319699	-0.93357300	-25.40381327	-585.82589751	-2451.09555519	-0.86934400	-23.65605330	-545.52159183	-2282.46234020	12.87000000
