Index	E1_eV	E1_nm	E2_eV	E2_nm	f1_au	f2_au	n_C	n_H	n_N	n_O	n_F
119	7.34702766	168.7542137	7.64738963	162.1261548	0.00006069	0.00865079	5	8	0	0	0
120	6.13967624	201.9392923	7.17122742	172.8911666	0.0006804	0.30492081	3	7	1	1	0
121	7.38686485	167.8441261	7.71382351	160.7298734	0.00000175	0.00569452	5	8	0	0	0
122	8.61480576	143.9198875	8.98191998	138.0375107	0.00000134	0.01244378	4	7	1	0	0
123	6.48935232	191.0578767	7.82967488	158.3516421	0.00223843	0.06236513	3	6	2	0	0
124	6.97020713	177.8773358	7.37455061	168.1243971	0.00468531	0.01831899	4	6	0	1	0
125	7.28580177	170.1723317	8.22081676	150.8173594	0.0132596	0.03174319	3	5	1	1	0
126	7.39467234	167.6669118	7.74763066	160.028521	0.00000121	0.00320858	4	6	0	1	0
127	7.50888369	165.1166707	8.61448058	143.9253201	0.00075499	0.00009006	3	5	1	1	0
128	4.42134837	280.4216657	7.70436184	160.9272646	0.00014285	0.03800648	4	8	0	1	0
129	5.91228322	209.7061031	7.06067982	175.598088	0.00090594	0.05234186	3	7	1	1	0
130	5.96541127	207.8384571	7.92310136	156.4844142	0.00118966	0.1983228	3	6	0	2	0
131	4.41335285	280.9296961	6.91813244	179.2162678	0.00004712	0.00803318	3	6	0	2	0
132	4.36862387	283.8060481	7.38395922	167.9101737	0.00024042	0.0155196	3	6	0	2	0
133	9.294563	133.3943162	9.56861864	129.5737579	0.0103997	0.0002941	5	12	0	0	0
134	7.23615651	171.3398369	8.67883142	142.8581585	0.00046584	0.0224305	4	10	0	1	0
135	7.40535553	167.4250305	8.32006974	149.0182071	0.04370748	0.00010445	4	10	0	1	0
136	7.33764735	168.9699459	8.29112036	149.5385209	0.04264892	0.00000002	4	10	0	1	0
137	7.60746645	162.9769758	7.88203122	157.2997925	0.03053984	0.00914709	3	8	0	2	0
138	7.25501155	170.894542	7.26178228	170.7352034	0.00000001	0.00097711	3	8	0	2	0
139	6.91093802	179.4028353	7.3853236	167.8791537	0.00133056	0.03292627	5	6	0	0	0
140	6.67993405	185.6069036	7.14215641	173.5948926	0.01639424	0.09393135	4	5	1	0	0
141	6.89050418	179.9348558	7.30537356	169.7164239	0.0137783	0.02329164	4	4	0	1	0
142	7.86151329	157.7103325	8.41752921	147.2928509	0.00359689	0.06522847	4	5	1	0	0
143	7.114597	174.2673374	7.62097826	162.6880215	0.02659172	0.12361203	3	4	2	0	0
144	7.35362696	168.60277	7.82148018	158.5175501	0.01507125	0.00639324	3	3	1	1	0
145	4.58271188	270.5476382	7.57546015	163.6655531	0.00009361	0.15016354	4	6	0	1	0
146	4.45998663	277.992285	5.89843481	210.1984536	0.00012639	0.10419195	3	5	1	1	0
147	4.36939286	283.7560995	6.58796202	188.1980909	0.00022107	0.02483587	3	4	0	2	0
148	5.28063544	234.7902804	6.76469942	183.2811481	0.00726443	0.19642927	3	5	1	1	0
149	8.47346983	146.3204449	8.73180791	141.9914282	0.01223365	0.00081623	5	10	0	0	0
150	8.0485736	154.04492	8.15243618	152.0823773	0.03209742	0.01138111	4	8	0	1	0
151	7.14484299	173.529618	7.56500526	163.8917399	0.06098542	0.01199141	4	9	1	0	0
152	7.5520072	164.1738206	8.09987304	153.0692974	0.02886068	0.01289779	4	8	0	1	0
153	7.21329976	171.8827605	8.68102276	142.8220971	0.00138493	0.03443781	4	8	0	1	0
154	7.223556	171.6387157	7.31171817	169.5691556	0.01614869	0.00239254	3	7	1	1	0
155	7.62974224	162.5011484	8.1217695	152.6566194	0.00129392	0.034411	3	6	0	2	0
156	7.51945967	164.8844372	7.53921404	164.4524043	0.00299456	0.26775176	5	8	0	0	0
157	6.80541091	182.1847191	7.05217027	175.8099745	0.00749983	0.12296127	3	5	1	1	0
158	6.37807382	194.391271	7.21595668	171.8194732	0.0718407	0.02051454	4	6	0	1	0
159	9.19662732	134.8148437	9.469499	130.9300392	0.0039942	0.01412012	5	10	0	0	0
160	7.28522326	170.1858449	8.5072095	145.7401367	0.02504043	0.01176639	4	8	0	1	0
161	7.63299617	162.4318744	7.91987899	156.5480833	0.03002768	0.0146792	3	6	0	2	0
162	7.94907735	155.9730546	8.16185214	151.9069268	0.00771218	0.00797423	5	8	0	0	0
163	6.92613939	179.0090852	7.43141315	166.8379688	0.0066097	0.00768965	4	6	0	1	0
164	7.71653131	160.6734717	7.95490902	155.8587122	0.00647521	0.01655099	4	6	0	1	0
165	6.61168926	187.5227081	7.36624815	168.3138894	0.04368596	0.08422222	3	4	2	0	0
166	6.09620442	203.3793143	6.63377511	186.8983882	0.00763993	0.05780037	2	3	3	0	0
167	7.06759205	175.4263498	7.69017137	161.2242193	0.02989056	0.10017592	2	3	3	0	0
168	6.21685535	199.4323185	7.09256067	174.8087796	0	0.01003448	2	3	3	0	0
169	6.51991179	190.1623695	6.70221909	184.9897563	0.06878708	0	2	3	3	0	0
170	6.62215775	187.226267	6.8022114	182.2704122	0.07838544	0.00638845	3	3	1	1	0
171	5.99708043	206.7409117	6.18169198	200.5667509	0.00611209	0.08684004	2	2	2	1	0
172	6.27681128	197.5273464	7.36194086	168.4123657	0.00594686	0.00500149	2	2	2	1	0
173	6.26279823	197.969315	7.51744194	164.9286932	0	0.14871209	2	2	2	1	0
174	6.05172769	204.8740358	6.41972574	193.130038	0.00114065	0.0066263	1	1	3	1	0
175	6.54948513	189.3037165	7.65135134	162.0422093	0.05956646	0.05836205	2	2	2	1	0
176	5.8204331	213.0153982	6.21400468	199.5238077	0.00522265	0.00102968	1	1	3	1	0
177	5.80831288	213.4598981	6.30749293	196.5665106	0.00716345	0	0	0	4	1	0
178	5.76638694	215.0119109	5.99352172	206.8636659	0.0022852	0.35318064	4	5	1	1	0
179	6.64878545	186.4764451	7.18062406	172.6649196	0.00229422	0.00560536	3	7	1	2	0
180	6.39264687	193.9481251	6.9517853	178.3487006	0.00321651	0.24169739	4	9	1	1	0
181	6.15488686	201.4402382	6.70026368	185.0437439	0.00420547	0.20623588	4	7	1	1	0
182	5.90604828	209.9274873	6.30424498	196.6677818	0.01004396	0.00853127	3	6	2	1	0
183	6.2773555	197.5102214	6.38486523	194.184502	0.00328952	0.05251117	3	5	1	2	0
184	13.98220742	88.67282814	13.98246103	88.67121982	0.00000001	0.00000001	1	0	0	0	4
187	5.93097989	209.0450309	6.82782194	181.5867325	0.00034585	0.00000002	3	4	2	1	0
188	6.3915674	193.9808811	6.51664153	190.2577992	0.00061247	0.12813459	3	3	1	2	0
189	7.0219474	176.5666708	7.12690362	173.9664154	0.12269974	0.00543149	3	2	0	3	0
190	6.09959741	203.2661816	6.5353001	189.7146047	0.0014802	0.03780505	5	7	1	0	0
191	6.54344257	189.4785295	6.85734329	180.8049885	0.22055615	0.01127737	5	6	0	1	0
192	6.54845871	189.3333882	6.71582832	184.6148855	0.17926769	0.00375639	4	5	1	1	0
193	6.7167418	184.5897776	6.73078152	184.2047424	0.19906053	0.00235565	4	5	1	1	0
194	5.87124628	211.1718392	6.39515467	193.8720701	0.00678201	0.09868903	4	6	2	0	0
195	5.7491722	215.6557208	6.0331717	205.5041588	0.02364927	0.19496241	4	5	1	1	0
196	5.91606044	209.5722126	6.01766393	206.0337514	0.16275058	0.02988843	3	4	2	1	0
197	6.31560954	196.3138898	6.46811193	191.6852845	0.11090396	0.13344302	3	4	2	1	0
198	5.63752308	219.9267051	6.24051456	198.6762252	0.00019631	0.0018415	4	5	1	1	0
199	5.88276377	210.7583992	6.59926128	187.8758581	0.00040833	0.00135802	3	4	2	1	0
200	6.30730272	196.5724384	6.98669043	177.4576801	0.00050749	0.0001395	3	4	2	1	0
201	6.27293365	197.6494482	6.41414577	193.2980509	0.00011628	0.01846338	5	7	1	0	0
202	6.49848011	190.7895161	6.56221298	188.9365492	0.092338	0.00016203	4	6	2	0	0
203	6.55687683	189.0903106	6.85539714	180.8563167	0.09490349	0.06368953	5	6	0	1	0
204	6.50507805	190.5960029	6.70883662	184.8072841	0.10762429	0.00312701	4	5	1	1	0
205	5.61209758	220.9230788	5.75374072	215.4844883	0.00492112	0.00130858	4	6	2	0	0
206	5.74027082	215.9901362	5.90249611	210.0538235	0.07700357	0.00030996	3	5	3	0	0
207	5.80526194	213.5720814	5.87129989	211.1699111	0.05514637	0.01525329	4	5	1	1	0
208	5.61849497	220.6715288	6.18689888	200.3979538	0.07259364	0.0093175	3	4	2	1	0
209	5.86311579	211.464675	6.07918153	203.9488161	0.00047921	0.0000852	4	5	1	1	0
210	5.93418703	208.9320525	6.14905165	201.6313971	0.10673776	0.00025783	3	4	2	1	0
211	5.81759251	213.1194088	6.96875241	177.9144676	0.09820584	0.00001203	3	3	1	2	0
212	6.56972523	188.720507	6.83223399	181.4694692	0.13040555	0.00065081	5	7	1	0	0
213	6.60415089	187.7367577	6.98942164	177.3883362	0.09986587	0.0500628	4	6	2	0	0
214	5.29494509	234.1557569	6.57369918	188.6064212	0	0.00000007	6	6	0	0	0
215	5.3632356	231.1742331	6.77887355	182.8979204	0.02833128	0.02458911	5	5	1	0	0
216	5.20334178	238.2780007	6.98999362	177.3738207	0.07893291	0.10837408	4	4	2	0	0
217	5.57397933	222.4338848	7.02650694	176.4520957	0.0268979	0.06529228	4	4	2	0	0
218	4.77217522	259.8064442	5.91852851	209.4848193	0.01441389	0	3	3	3	0	0
219	7.41634294	167.176988	7.73480865	160.2938005	0.00000001	0.00340147	6	10	0	0	0
220	8.99853172	137.7826866	8.99855539	137.7823241	0.00822556	0.00821035	5	9	1	0	0
221	7.11654615	174.2196073	8.15112732	152.1067979	0.02171006	0.00075802	4	8	2	0	0
222	7.18066052	172.6640428	7.38853726	167.8061342	0.00377834	0.01227186	5	8	0	1	0
223	7.50774571	165.1416981	8.40297602	147.5479488	0.01232528	0.00424511	4	7	1	1	0
224	4.45427415	278.3488026	7.43067055	166.8546421	0.00002313	0.03312249	5	10	0	1	0
225	4.36324336	284.1560218	7.12260259	174.0714662	0.00009411	0.01343696	4	8	0	2	0
226	7.18360479	172.5932747	8.85355926	140.0388069	0.00019095	0.02471762	5	12	0	1	0
227	7.25876917	170.8060757	7.37667228	168.0760413	0.00033568	0.01735587	4	10	0	2	0
228	8.96319937	138.325817	9.14604191	135.5604849	0.04009021	0.05542627	6	14	0	0	0
229	7.18192286	172.6336943	8.78764893	141.0891451	0.01635393	0.05971283	5	12	0	1	0
230	7.28624722	170.161928	8.05907229	153.8442429	0.00047991	0.02485175	5	12	0	1	0
231	4.20951101	294.5334674	5.80615937	213.5390705	0.00015953	0.00009584	5	6	0	1	0
232	5.19953681	238.4523701	6.57890716	188.4571168	0.00009497	0.0005402	4	5	1	1	0
233	7.34183845	168.8734892	7.63359455	162.4191418	0.00074593	0.00465759	6	10	0	0	0
234	7.10369965	174.5346701	7.3514857	168.6518789	0.00221535	0.03420284	5	8	0	1	0
235	4.62259071	268.2136391	7.15841413	173.2006354	0.00028948	0.01036804	5	6	0	1	0
236	4.71534016	262.9379498	7.12895481	173.9163606	0.0000199	0.00734871	4	5	1	1	0
237	5.89351064	210.3740796	7.00548071	176.9816986	0.00048559	0.01147956	4	5	1	1	0
238	5.93475928	208.9119063	7.14595512	173.5026115	0.00047368	0.01321536	3	4	2	1	0
239	5.46334328	226.938307	6.19411887	200.1643657	0.0006644	0.00312451	3	6	2	1	0
240	5.49732921	225.535315	6.50222467	190.6796426	0.00032142	0.00324134	3	5	1	2	0
241	4.37171182	283.6055824	4.58554377	270.3805564	0.00203301	0.00034073	4	6	0	2	0
242	5.05464871	245.2874468	6.09162203	203.5323055	0.00004053	0.00346479	3	6	2	1	0
243	4.77990407	259.3863511	5.63753396	219.9262804	0.00131616	0.00000604	3	5	1	2	0
244	5.79299233	214.0244291	6.31116211	196.4522307	0.00000698	0.00399677	3	5	1	2	0
246	4.43060106	279.8360445	5.85251777	211.8476053	0.00047419	0.00299152	3	5	1	2	0
247	5.70877935	217.1816073	6.45439658	192.0926086	0.00190595	0.00501673	2	5	3	1	0
248	5.22143925	237.4521307	6.27621235	197.5461959	0.00101983	0.00116525	2	4	2	2	0
249	6.31405414	196.3622497	7.17516954	172.7961784	0.0027378	0.00056222	2	4	2	2	0
250	7.35579435	168.5530912	7.68303818	161.3739053	0.00001388	0.00600597	6	10	0	0	0
251	8.58569938	144.4077904	8.9369431	138.7322109	0.00003368	0.01171728	5	9	1	0	0
252	7.36870452	168.2577816	7.7196677	160.6081925	0.00004462	0.00339061	5	8	0	1	0
253	7.44627547	166.5049703	8.58423649	144.4323996	0.01018016	0.00014932	4	7	1	1	0
254	6.31358012	196.3769926	7.2911665	170.0471216	0.03158897	0.04945176	4	8	2	0	0
255	4.41021511	281.1295697	7.6171254	162.7703116	0.00008932	0.0458987	5	10	0	1	0
256	5.90586678	209.9339388	7.07934274	175.1351673	0.00071869	0.00684805	4	9	1	1	0
257	5.95382548	208.2428984	7.86848485	157.5705996	0.00090057	0.20838979	4	8	0	2	0
258	4.33076032	286.2873457	7.18509326	172.5575203	0.00015519	0.00625287	4	8	0	2	0
259	4.38511179	282.7389437	5.6272233	220.3292476	0.00010327	0.00091136	4	9	1	1	0
260	4.64453478	266.9464076	7.08544871	174.9842426	0.0000403	0.02476181	4	8	0	2	0
261	4.63680729	267.3912882	6.91585076	179.2753947	0.0000442	0.02399657	5	10	0	1	0
262	5.87210915	211.1408087	7.01027671	176.8606185	0.00035273	0.02716279	4	9	1	1	0
263	5.93819635	208.7909866	6.87547914	180.3280689	0.00062352	0.00588718	4	9	1	1	0
264	6.75398085	183.5720152	6.81957389	181.8063555	0.01320843	0.00074726	3	8	2	1	0
265	6.09061085	203.5660963	8.01658226	154.6596586	0.00126121	0.02372206	4	8	0	2	0
266	7.21372643	171.8725941	7.66601828	161.7321836	0.00055589	0.01303958	3	7	1	2	0
268	4.64220903	267.0801484	6.98055862	177.6135612	0.00002588	0.01910689	4	8	0	2	0
269	5.79601932	213.9126539	6.99580897	177.2263768	0.00083468	0.01915663	3	7	1	2	0
270	5.90533044	209.9530055	7.1400244	173.646728	0.00031731	0.02219301	3	7	1	2	0
271	3.66964478	337.8642758	3.9438743	314.3715495	0.10585057	0.00142384	3	7	1	2	0
272	7.21929878	171.7399311	8.69384286	142.6114891	0.00059078	0.02046816	5	12	0	1	0
273	7.2509595	170.9900428	7.35063616	168.6713706	0.00099386	0.01631846	4	10	0	2	0
274	9.14387125	135.5926654	9.4257567	131.5376489	0.02944501	0.04295511	6	14	0	0	0
275	7.27847647	170.3435988	8.62994889	143.6673485	0.01655888	0.00332813	5	12	0	1	0
276	7.32439677	169.2756298	8.18854242	151.4117912	0.01959836	0.00930095	5	12	0	1	0
277	7.39807132	167.5898788	8.37377385	148.0624981	0.04217963	0.00180079	5	12	0	1	0
278	7.51711622	164.9358396	7.81689016	158.6106303	0.02606054	0.02996166	4	10	0	2	0
279	2.97933796	416.1467727	4.82760617	256.8233264	0.00011167	0	4	6	0	2	0
281	3.55610909	348.651249	5.456855	227.2081401	0.00003909	0.00019634	3	5	1	2	0
282	4.43299321	279.6850381	5.23612959	236.7859417	0	0.01838894	2	4	2	2	0
283	4.42633758	280.1055846	6.40523051	193.5670972	0.0000178	0.00000001	2	4	2	2	0
284	4.54542085	272.7672343	6.95072106	178.3760079	0.00018702	0.01726277	5	10	0	1	0
285	5.87484499	211.0424834	7.36949882	168.2396464	0.00095969	0.00915995	4	9	1	1	0
287	4.79816209	258.3993311	6.64391679	186.613095	0.00004522	0.03149532	4	8	0	2	0
288	6.10923541	202.9455066	7.31859666	169.4097835	0.00078829	0.00728048	3	7	1	2	0
289	5.86414057	211.4277208	6.73228222	184.163681	0.00068736	0.02356688	4	9	1	1	0
290	6.57425837	188.5903787	6.80794103	182.1170117	0.02468708	0.00014306	3	8	2	1	0
291	9.12863751	135.8189406	9.27129591	133.7290804	0	0	6	14	0	0	0
292	7.18577817	172.541073	8.76468633	141.4587845	0.00729617	0.03741546	5	12	0	1	0
293	7.169561	172.9313518	8.37276077	148.0804133	0.00203839	0.00913261	4	10	0	2	0
294	8.401693	147.5704807	8.49154118	146.0090517	0.00904581	0.099854	6	12	0	0	0
295	7.03445621	176.2526966	7.49161916	165.4971842	0.00203967	0.00579009	5	10	0	1	0
296	6.96618529	177.9800312	7.30220507	169.7900654	0.00469123	0.03097913	5	10	0	1	0
297	7.14259071	173.5843374	8.22653741	150.7124825	0.01721584	0.03063678	5	10	0	1	0
298	6.95357962	178.3026791	7.2435112	171.1658671	0.00581059	0.01275239	4	8	0	2	0
299	7.22780343	171.5378521	7.85478909	157.8453427	0.00821116	0.02401271	5	10	0	1	0
300	7.20429633	172.0975677	7.26159833	170.7395285	0.01473861	0.00306155	4	8	0	2	0
301	7.77631445	159.4382382	8.13294195	152.4469108	0.03203948	0.01321114	6	12	0	0	0
302	7.14172103	173.6054755	7.93239895	156.3009984	0.00823209	0.04939951	5	10	0	1	0
